highway,maxspeed,lanes,oneway,latitude,longitude
primary,20 mph,2,yes,40.7140568,-73.9974586
residential,25 mph,1,yes,40.7369494,-74.0061765
residential,25 mph,2,no,40.7800278,-73.9876742
residential,25 mph,1,yes,40.7369739,-74.0081679
primary,25 mph,4,yes,40.7710232,-73.982254
secondary,20 mph,3,yes,40.7133314,-74.0069892
secondary,20 mph,3,yes,40.7138956,-74.0065285
primary,25 mph,4,yes,40.7994903,-73.9688914
primary,20 mph,3,yes,40.7135609,-73.9982399
primary,25 mph,3,yes,40.7943908,-73.9664256
primary,25 mph,3,yes,40.7724745,-73.9824148
residential,25 mph,1,yes,40.7418046,-73.9862073
tertiary,25 mph,2,yes,40.7648379,-73.9627253
residential,25 mph,2,yes,40.7297779,-73.9904169
secondary,20 mph,2,no,40.713475,-73.9977121
residential,25 mph,1,yes,40.7381241,-74.0064684
residential,25 mph,1,yes,40.7371946,-74.0057624
secondary,25 mph,3,yes,40.7437012,-73.9859205
residential,20 mph,1,yes,40.7173093,-74.0140586
primary,25 mph,3,yes,40.7430006,-73.9842426
residential,20 mph,2,no,40.7167872,-74.0138271
residential,25 mph,2,no,40.7380065,-73.9983654
residential,25 mph,2,no,40.7391591,-74.0011141
secondary,25 mph,1,no,40.7415355,-74.0067403
primary,25 mph,4,no,40.7675874,-73.9849409
secondary,25 mph,4,yes,40.7420907,-73.9933952
secondary,25 mph,3,yes,40.737983,-74.0000878
secondary,25 mph,2,yes,40.7615121,-73.9625917
residential,25 mph,1,yes,40.7636965,-73.9677777
trunk,25 mph,2,yes,40.7598383,-73.9611936
primary,25 mph,4,yes,40.7607929,-73.9642269
primary,25 mph,6,yes,40.7616764,-73.9635794
secondary,25 mph,1,yes,40.7103619,-73.9646885
residential,25 mph,1,yes,40.7604804,-73.9640254
secondary,25 mph,2,yes,40.7629089,-73.969805
primary,25 mph,2,no,40.710981,-73.950896
secondary,25 mph,1,yes,40.7212916,-73.9606481
secondary,25 mph,4,yes,40.7637945,-73.9712759
secondary,25 mph,2,yes,40.7150808,-73.9523226
trunk,30 mph,2,yes,40.7570392,-73.9547145
trunk,30 mph,2,yes,40.7569246,-73.9547961
secondary,30 mph,1,yes,40.7568891,-73.9548249
trunk,35 mph,2,yes,40.75695,-73.9547757
trunk,30 mph,2,yes,40.7570102,-73.9547304
secondary,25 mph,1,no,40.7143023,-73.9516656
secondary,25 mph,1,yes,40.7088019,-73.9670969
secondary,25 mph,1,yes,40.7131699,-73.9656334
primary,25 mph,6,yes,40.7611022,-73.964
secondary,25 mph,4,yes,40.7647671,-73.9726668
residential,25 mph,1,yes,40.7884652,-73.9689023
residential,25 mph,1,yes,40.7896506,-73.9717397
primary,25 mph,2,yes,40.7216037,-73.9840472
primary,25 mph,2,yes,40.7213455,-73.9836344
residential,20 mph,1,yes,40.7338767,-74.0054199
residential,20 mph,1,yes,40.7341757,-74.003478
primary,25 mph,1,no,40.7062616,-73.9521196
secondary,25 mph,3,yes,40.7852147,-73.9690765
secondary,25 mph,3,no,40.7808445,-73.971626
residential,25 mph,2,no,40.7435821,-73.959492
residential,25 mph,1,yes,40.7429353,-73.9590206
primary,25 mph,7,yes,40.7397627,-73.9824771
residential,25 mph,1,no,40.7028208,-73.9827004
secondary,25 mph,2,yes,40.7012998,-73.9616549
secondary,25 mph,1,yes,40.7007809,-73.9628151
secondary,25 mph,1,no,40.7072653,-73.9612575
secondary,25 mph,2,no,40.7094023,-73.9607769
residential,25 mph,1,yes,40.7438851,-73.9524671
tertiary,25 mph,2,no,40.7377558,-73.9555189
cycleway,25 mph,1,no,40.7347645,-73.9526044
primary,25 mph,3,yes,40.7348467,-73.9525507
residential,25 mph,1,yes,40.7343063,-73.9566289
residential,25 mph,1,yes,40.7338642,-73.9535841
unclassified,25 mph,1,yes,40.7467446,-73.9941085
unclassified,25 mph,1,yes,40.747321,-73.9954428
residential,25 mph,1,yes,40.7300841,-73.9592912
residential,25 mph,1,yes,40.7309932,-73.9535303
residential,25 mph,1,yes,40.7286627,-73.9590559
tertiary,25 mph,2,no,40.7302398,-73.9576541
tertiary,25 mph,2,no,40.7320124,-73.9579456
residential,25 mph,1,yes,40.7305153,-73.9585311
residential,25 mph,1,yes,40.7206501,-73.9902408
residential,25 mph,1,yes,40.7204943,-73.9897316
primary,25 mph,2,yes,40.7194928,-73.9900897
primary,25 mph,2,yes,40.7212232,-73.989245
primary,25 mph,1,yes,40.7199842,-73.9901297
residential,25 mph,1,yes,40.7032923,-73.9919137
tertiary,25 mph,1,yes,40.7024966,-73.9889093
tertiary,25 mph,2,no,40.7026026,-73.9924053
residential,25 mph,1,yes,40.7035497,-73.9906471
tertiary,25 mph,2,no,40.737284,-73.9555326
tertiary,25 mph,1,yes,40.7372474,-73.9567301
tertiary,25 mph,1,yes,40.7374004,-73.9543158
tertiary,25 mph,1,yes,40.7376224,-73.9560444
residential,25 mph,1,yes,40.7269411,-73.9536087
residential,25 mph,1,yes,40.7006051,-73.9829187
unclassified,25 mph,1,yes,40.70023,-73.9882276
unclassified,25 mph,1,yes,40.7002006,-73.9873506
secondary,20 mph,1,yes,40.7129398,-74.0101319
trunk,30 mph,3,yes,40.7076261,-74.0158246
primary,20 mph,3,yes,40.7136522,-73.9983591
primary,25 mph,5,yes,40.7405891,-73.9789662
secondary,20 mph,3,yes,40.7140756,-74.0086005
residential,25 mph,1,yes,40.7420374,-73.9790694
secondary,20 mph,1,yes,40.7140967,-74.0094931
trunk,30 mph,3,yes,40.7151592,-74.0135515
trunk,30 mph,4,yes,40.7166333,-74.0128818
secondary,20 mph,2,yes,40.7111539,-74.0088766
primary,25 mph,4,yes,40.741658,-73.9750588
secondary,20 mph,3,yes,40.7129226,-74.0094866
service,20 mph,2,no,40.7841499,-73.958715
residential,15 mph,1,yes,40.7598495,-73.952795
primary,25 mph,3,yes,40.7757945,-73.9799824
primary,25 mph,4,yes,40.7910225,-73.9688963
residential,20 mph,2,no,40.7174706,-74.013493
secondary,20 mph,3,no,40.7170068,-74.0124737
residential,25 mph,1,yes,40.7122761,-73.9798268
residential,25 mph,1,yes,40.7370846,-73.9829603
residential,25 mph,1,yes,40.7449102,-73.9859127
residential,25 mph,1,yes,40.7431666,-73.9817533
residential,25 mph,1,yes,40.7408088,-73.974237
tertiary,25 mph,1,yes,40.7428756,-73.9791596
tertiary,25 mph,1,yes,40.7448982,-73.9839563
secondary,25 mph,3,yes,40.7417739,-73.9765289
tertiary,25 mph,1,yes,40.7438808,-73.9815439
residential,25 mph,1,yes,40.7491272,-73.976412
residential,25 mph,2,yes,40.7482301,-73.9742791
residential,25 mph,1,yes,40.7506031,-73.9780013
residential,25 mph,1,yes,40.7480508,-73.9719665
residential,25 mph,2,yes,40.7512192,-73.9794644
residential,25 mph,1,yes,40.7490236,-73.9742758
secondary,25 mph,2,no,40.7176812,-73.9922625
residential,20 mph,1,yes,40.7166055,-74.0108446
tertiary,25 mph,1,yes,40.7470366,-73.9890448
tertiary,25 mph,1,yes,40.747873,-73.99104
primary,25 mph,4,yes,40.7461137,-74.0053161
primary,25 mph,4,yes,40.7467166,-74.0048756
primary,25 mph,5,yes,40.7577525,-73.9633277
primary,25 mph,1,yes,40.7515148,-73.9679026
primary,25 mph,6,yes,40.759559,-73.9651267
residential,20 mph,2,no,40.7101552,-74.0166632
residential,20 mph,2,no,40.7099648,-74.0157911
residential,20 mph,3,no,40.710273,-74.0163034
primary,20 mph,2,no,40.7057442,-74.0039326
residential,25 mph,1,yes,40.7349155,-74.0084466
residential,25 mph,2,no,40.7445978,-73.9581979
secondary,25 mph,2,no,40.7534802,-73.9499987
secondary,25 mph,2,no,40.7451566,-73.9532912
residential,25 mph,1,no,40.7034216,-73.9866281
secondary,25 mph,1,yes,40.7189746,-73.9610231
residential,25 mph,2,no,40.7028233,-73.9633927
secondary,25 mph,2,no,40.7300379,-73.9560175
tertiary,25 mph,1,yes,40.7378694,-73.952827
tertiary,25 mph,2,no,40.7374447,-73.952501
unclassified,25 mph,1,yes,40.7262479,-73.9580009
residential,25 mph,1,yes,40.7346935,-73.9600406
primary,25 mph,3,yes,40.7183641,-73.9878511
residential,25 mph,1,no,40.7185564,-73.9882057
primary,25 mph,3,yes,40.7997642,-73.9624974
secondary,25 mph,3,yes,40.7481662,-74.0076665
residential,25 mph,1,yes,40.7481858,-73.9558933
tertiary,25 mph,1,yes,40.7378102,-73.9554249
unclassified,25 mph,1,yes,40.738393,-73.9552809
tertiary,25 mph,2,no,40.7351843,-73.9584655
tertiary,25 mph,2,no,40.748789,-73.9508436
residential,25 mph,1,yes,40.7335882,-73.9565111
residential,25 mph,1,yes,40.7229236,-73.95552
residential,25 mph,1,no,40.7019763,-73.9867168
tertiary,25 mph,1,yes,40.7023876,-73.9856968
residential,25 mph,2,no,40.7039852,-73.9653582
secondary,25 mph,1,yes,40.7078777,-73.9684049
residential,20 mph,1,yes,40.7308612,-74.0045423
tertiary,25 mph,2,yes,40.7420798,-73.9507708
tertiary,25 mph,1,yes,40.7379677,-73.9554325
residential,25 mph,1,yes,40.7340678,-73.9591129
unclassified,25 mph,2,no,40.7114858,-74.012198
residential,20 mph,2,no,40.7189533,-74.0115727
residential,20 mph,2,no,40.718874,-74.0109164
residential,20 mph,2,no,40.7189934,-74.0118936
residential,20 mph,2,no,40.7189331,-74.011408
residential,25 mph,2,no,40.7157294,-73.9941936
unclassified,25 mph,2,no,40.7722875,-73.9920496
residential,25 mph,1,yes,40.775375,-73.9896704
primary,25 mph,4,yes,40.723711,-74.0054542
primary,25 mph,3,yes,40.7239019,-74.0046854
secondary,20 mph,2,yes,40.7055525,-74.0146214
motorway,25 mph,2,yes,40.7210225,-74.0072311
secondary,20 mph,2,yes,40.7208646,-74.0066205
secondary,20 mph,2,yes,40.715765,-74.0049724
residential,20 mph,2,no,40.716042,-74.0039933
secondary,25 mph,2,no,40.7131817,-73.9850797
motorway,25 mph,2,yes,40.721611,-74.007307
primary,25 mph,5,yes,40.7599374,-73.9617282
unclassified,25 mph,2,yes,40.7698651,-73.9924238
unclassified,25 mph,2,yes,40.7703284,-73.9935146
unclassified,25 mph,1,yes,40.7535019,-73.9986243
primary,25 mph,4,no,40.7542137,-73.9982557
primary,25 mph,4,no,40.754989,-74.0000953
unclassified,25 mph,1,no,40.7310588,-73.9603899
residential,25 mph,1,yes,40.7322135,-73.9558367
residential,25 mph,2,no,40.73247,-73.9606756
residential,25 mph,1,yes,40.7315027,-73.9595239
residential,25 mph,1,yes,40.7293395,-73.9557177
residential,25 mph,1,yes,40.7285698,-73.9563292
residential,25 mph,1,yes,40.7276775,-73.9580635
residential,25 mph,1,yes,40.726893,-73.9587622
secondary,25 mph,2,no,40.726815,-73.9572684
residential,25 mph,1,yes,40.7278785,-73.9562448
residential,25 mph,2,yes,40.723914,-73.950356
tertiary,25 mph,1,no,40.7239345,-73.950883
unclassified,25 mph,1,no,40.7389187,-73.9554418
unclassified,20 mph,2,no,40.7131282,-74.0040559
residential,25 mph,1,yes,40.7369415,-73.9519359
residential,25 mph,1,yes,40.7366906,-73.9541967
residential,25 mph,1,yes,40.7332752,-73.9522099
residential,15 mph,1,yes,40.7603249,-73.9519975
tertiary_link,25 mph,1,yes,40.7425309,-73.9523023
residential,25 mph,1,yes,40.726336,-73.95509
residential,25 mph,1,yes,40.7251588,-73.9555988
residential,25 mph,1,yes,40.7237773,-73.9548205
residential,25 mph,1,yes,40.7265304,-73.9564994
residential,25 mph,1,yes,40.7272698,-73.9548181
primary,25 mph,4,no,40.7276597,-73.9912968
residential,20 mph,2,no,40.7032203,-74.0115541
residential,20 mph,2,yes,40.7041363,-74.0115812
primary,25 mph,2,yes,40.7158596,-73.9863289
primary,25 mph,2,yes,40.7341993,-73.95222
residential,25 mph,1,yes,40.7979226,-73.9715805
trunk,30 mph,2,yes,40.7016775,-73.9911345
service,20 mph,2,yes,40.7980988,-73.9527243
service,20 mph,4,no,40.7981249,-73.9533593
residential,25 mph,2,no,40.7425774,-73.9599331
trunk,30 mph,3,yes,40.7436233,-74.0086506
residential,25 mph,3,yes,40.7650635,-73.9768197
primary,25 mph,2,yes,40.7669128,-73.9817868
trunk,35 mph,2,yes,40.7151545,-73.9953331
residential,25 mph,1,yes,40.7180809,-73.990094
service,25 mph,1,no,40.7274967,-73.9972334
service,25 mph,1,no,40.7273634,-73.9973457
residential,25 mph,1,no,40.7271462,-73.9986224
secondary,25 mph,2,no,40.7706438,-73.9759576
pedestrian,20 mph,1,yes,40.7796752,-73.9712167
pedestrian,20 mph,1,yes,40.7697609,-73.9745487
pedestrian,20 mph,1,yes,40.7734554,-73.9762649
service,5 mph,1,no,40.7767465,-73.976631
secondary,25 mph,4,no,40.7894189,-73.9791096
secondary,25 mph,1,no,40.7883251,-73.9765187
tertiary,25 mph,2,no,40.7898792,-73.9771387
residential,25 mph,1,yes,40.7694575,-73.9620057
motorway,35 mph,2,reversible,40.7668755,-74.0211737
motorway,35 mph,2,reversible,40.7602444,-74.0032189
motorway,35 mph,2,yes,40.7609885,-74.0043735
residential,25 mph,1,yes,40.7263239,-74.0020061
service,5 mph,1,no,40.7760965,-73.9867555
service,5 mph,1,no,40.7763291,-73.986241
service,5 mph,1,yes,40.776824,-73.9858819
service,5 mph,1,yes,40.7772006,-73.9857669
service,5 mph,1,no,40.7757859,-73.9849758
pedestrian,20 mph,1,yes,40.7717677,-73.977548
unclassified,25 mph,1,no,40.7377213,-73.9784356
unclassified,25 mph,1,no,40.7383729,-73.9799917
primary,25 mph,5,yes,40.7380862,-73.9807711
residential,25 mph,1,yes,40.7605759,-73.9571585
residential,25 mph,1,yes,40.7599364,-73.9578963
trunk,30 mph,3,yes,40.7588293,-74.0037562
motorway,50 mph,3,yes,40.7825796,-73.9860317
secondary,20 mph,2,yes,40.72146,-74.0065103
residential,25 mph,1,yes,40.7386451,-73.9977597
residential,25 mph,1,yes,40.7160065,-73.9866631
residential,25 mph,1,yes,40.7419974,-73.9519043
residential,25 mph,1,yes,40.7439571,-74.0083497
residential,25 mph,1,yes,40.742275,-74.0043965
residential,25 mph,1,yes,40.7380087,-73.9942639
residential,25 mph,1,yes,40.7235021,-74.0033203
residential,25 mph,1,yes,40.7242885,-74.0052537
secondary,25 mph,1,yes,40.7007876,-73.9629271
primary,25 mph,3,yes,40.7248431,-73.9904103
primary,25 mph,3,yes,40.7250832,-73.9923347
secondary,25 mph,4,yes,40.7479829,-74.0002809
secondary,25 mph,1,yes,40.7521246,-73.9972707
secondary,25 mph,2,yes,40.7414801,-74.0049298
primary,25 mph,1,yes,40.7492156,-73.9695848
residential,25 mph,1,yes,40.7205877,-74.0020215
residential,20 mph,1,yes,40.7104102,-74.0176245
motorway_link,25 mph,1,yes,40.7063898,-74.0150245
motorway_link,25 mph,1,yes,40.7069625,-74.0152606
motorway_link,25 mph,2,reversible,40.7065986,-74.0148581
residential,25 mph,1,no,40.7476639,-73.9567249
tertiary,25 mph,2,no,40.7358804,-73.9551947
residential,25 mph,2,no,40.7310332,-73.9961984
residential,25 mph,1,yes,40.7289722,-73.9953795
primary,25 mph,2,yes,40.7935119,-73.9724819
secondary,25 mph,3,no,40.7806995,-73.9867792
primary,25 mph,2,yes,40.7868413,-73.9521865
primary,25 mph,2,yes,40.7867849,-73.9525383
primary,25 mph,1,yes,40.7874375,-73.9520676
secondary,25 mph,4,no,40.785062,-73.9490101
secondary,25 mph,3,yes,40.7828791,-73.9531193
pedestrian,25 mph,1,yes,40.735559,-73.9914681
service,25 mph,1,yes,40.7364084,-73.9786565
secondary,20 mph,1,yes,40.7129534,-74.0043173
secondary,20 mph,3,yes,40.7129727,-74.0041307
service,20 mph,2,no,40.7878604,-73.9672499
service,20 mph,1,yes,40.7878149,-73.9669488
residential,25 mph,1,yes,40.7196718,-73.984762
primary,25 mph,5,yes,40.7604912,-73.9644476
primary,25 mph,2,yes,40.7545968,-73.9757144
primary,25 mph,2,yes,40.7534069,-73.977402
service,20 mph,1,no,40.719814,-73.9771914
service,20 mph,1,yes,40.7111662,-74.0072677
residential,25 mph,1,yes,40.720574,-73.983336
secondary,25 mph,4,yes,40.7460032,-73.9728785
primary,25 mph,4,yes,40.746414,-73.9715921
primary,25 mph,3,yes,40.74588,-73.9719827
residential,20 mph,1,yes,40.7076152,-74.0049082
residential,20 mph,1,yes,40.7092941,-74.013969
residential,20 mph,1,yes,40.7101979,-74.0140198
residential,25 mph,1,yes,40.7212206,-73.9829974
residential,25 mph,1,yes,40.7209625,-73.9821506
motorway,40 mph,2,yes,40.7601976,-73.9570861
residential,25 mph,2,yes,40.7597879,-73.9643322
secondary,25 mph,3,yes,40.7604365,-73.965851
primary,25 mph,6,yes,40.7611215,-73.9669059
primary,25 mph,3,yes,40.7603528,-73.9675167
motorway,40 mph,3,yes,40.7611625,-73.9560256
motorway,40 mph,3,yes,40.7605028,-73.9569833
residential,25,1,yes,40.755926,-73.9632121
primary,25 mph,4,yes,40.7568507,-73.9639793
service,5 mph,1,no,40.7506032,-73.9923882
primary,25 mph,4,yes,40.7346654,-73.983254
primary,25 mph,2,yes,40.7483394,-73.9701385
primary,25 mph,3,yes,40.7532774,-73.9665329
primary,25 mph,2,yes,40.7503401,-73.9686768
residential,25 mph,1,yes,40.7384816,-73.9743462
residential,25 mph,1,yes,40.7394953,-73.9733835
residential,25 mph,2,no,40.7396733,-73.9792406
primary,25 mph,4,yes,40.7241689,-73.9878026
primary,25 mph,1,yes,40.7524007,-73.9673945
secondary,25 mph,4,yes,40.7475306,-73.9764948
primary,25 mph,5,yes,40.7419646,-73.9779449
unclassified,25 mph,3,no,40.7466326,-73.9734287
secondary,25 mph,2,no,40.7469022,-73.9749925
residential,25 mph,4,yes,40.745109,-73.9726765
primary,25 mph,2,yes,40.7487228,-73.9697611
service,5 mph,1,no,40.7457072,-73.981104
primary,25 mph,2,yes,40.7512083,-73.9784882
secondary,25 mph,4,yes,40.7629715,-73.98189
secondary,25 mph,4,no,40.7459133,-73.9999109
secondary,25 mph,3,yes,40.746375,-74.0014617
primary,25 mph,4,no,40.7470854,-73.98136
primary,20 mph,4,no,40.7050534,-74.0075834
secondary,25 mph,3,yes,40.7521788,-73.9860384
primary,25 mph,4,no,40.7504052,-73.9891792
primary,25 mph,5,no,40.7500066,-73.9726166
residential,25 mph,1,yes,40.720455,-73.9890354
primary,25 mph,3,yes,40.7207288,-73.9815994
pedestrian,20 mph,2,yes,40.7700044,-73.9792741
residential,25 mph,1,yes,40.7439792,-73.9779444
residential,25 mph,1,yes,40.7299898,-73.9983402
pedestrian,20 mph,1,yes,40.7684971,-73.9756684
primary,25 mph,2,yes,40.7508935,-73.9785617
secondary,25 mph,4,no,40.7783557,-73.9528586
secondary,25 mph,3,yes,40.7728987,-73.9604055
residential,20 mph,1,yes,40.7101634,-74.0058528
residential,20 mph,1,yes,40.7096651,-74.0056054
primary,25 mph,7,yes,40.7435518,-73.9797239
residential,20 mph,1,yes,40.7052288,-74.0096047
residential,20 mph,1,yes,40.7050849,-74.0089756
residential,20 mph,1,yes,40.7054848,-74.0099277
residential,20 mph,1,yes,40.7050814,-74.0107616
residential,20 mph,1,yes,40.7049888,-74.0120767
residential,20 mph,1,yes,40.7075914,-74.0030358
residential,20 mph,2,no,40.7038034,-74.0115901
secondary,20 mph,4,yes,40.7117916,-74.0083075
trunk,20 mph,4,no,40.7169741,-73.9981778
secondary,25 mph,4,yes,40.7629409,-73.9718939
secondary,25 mph,4,no,40.7777822,-73.9515005
primary,25 mph,4,yes,40.7684754,-73.9586301
residential,25 mph,1,yes,40.7747949,-73.9902031
primary,25 mph,5,yes,40.7492921,-74.002999
residential,25 mph,1,yes,40.7454043,-73.9966709
primary,25 mph,5,yes,40.7510961,-74.0016863
secondary,25 mph,5,yes,40.7584818,-73.9851618
secondary,25 mph,4,yes,40.7570262,-73.9862348
tertiary,20 mph,2,no,40.7212425,-73.9778079
secondary,25 mph,1,yes,40.7854461,-73.98374
residential,20 mph,1,no,40.7179751,-74.0082154
primary,25 mph,4,yes,40.7883329,-73.9766922
secondary,25 mph,4,no,40.7787251,-73.9819059
residential,25 mph,1,yes,40.7411265,-73.9845927
service,25 mph,1,yes,40.7118699,-74.0026223
primary,20 mph,1,yes,40.7222264,-74.0106688
residential,20 mph,1,no,40.7247224,-74.0093086
primary,20 mph,1,yes,40.7203819,-74.0059752
tertiary,20 mph,1,yes,40.7188788,-74.0029545
service,25 mph,1,no,40.7241051,-74.0068119
trunk,30 mph,3,yes,40.7213436,-74.012068
trunk,20 mph,3,yes,40.7233739,-74.0074264
secondary,20 mph,1,yes,40.7158103,-74.0083609
residential,20 mph,1,yes,40.7165475,-74.0099774
trunk,30 mph,4,yes,40.7226487,-74.0115717
residential,20 mph,1,yes,40.7153637,-74.0105874
residential,20 mph,1,yes,40.709645,-74.0142135
trunk,30 mph,4,yes,40.709899,-74.0147141
unclassified,20 mph,2,yes,40.7135635,-74.0124505
secondary,20 mph,3,yes,40.7150456,-74.0078388
residential,20 mph,1,yes,40.7195962,-74.0030028
residential,20 mph,1,yes,40.7178935,-74.0028244
secondary,20 mph,2,yes,40.7117339,-74.0073096
motorway,30 mph,2,yes,40.7031262,-74.0143645
primary,20 mph,2,yes,40.7049261,-74.0164149
primary,20 mph,4,no,40.7029249,-74.0142953
motorway_link,20 mph,1,yes,40.7031005,-74.007898
residential,20 mph,1,yes,40.7037919,-74.008629
motorway,30 mph,2,yes,40.7031497,-74.0143201
motorway_link,25 mph,4,yes,40.7075611,-74.0154718
residential,20 mph,1,yes,40.7074598,-74.0146801
residential,20 mph,1,yes,40.7076473,-74.015388
service,25 mph,2,yes,40.7071721,-74.0140004
residential,20 mph,1,yes,40.7070517,-74.0137292
service,25 mph,2,yes,40.7071104,-74.0140263
motorway_link,25 mph,3,yes,40.7072347,-74.0158477
motorway,40 mph,2,yes,40.6935599,-74.0105731
motorway,40 mph,1,yes,40.7075569,-74.0005929
secondary,20 mph,1,yes,40.7107394,-74.0032917
secondary,20 mph,2,no,40.7102129,-74.0025806
service,20 mph,1,yes,40.7104722,-73.9974023
primary,20 mph,4,no,40.7098946,-74.0013298
motorway_link,25 mph,2,yes,40.7117433,-74.0029234
residential,20 mph,1,yes,40.7137506,-74.0017241
unclassified,10 mph,1,yes,40.7128216,-74.0016405
service,25 mph,1,no,40.7124512,-74.0009307
residential,20 mph,1,yes,40.7116543,-74.0016449
primary,20 mph,3,no,40.7133698,-73.998384
residential,20 mph,2,no,40.7147758,-74.0013032
primary,20 mph,2,yes,40.7153231,-73.996708
secondary,20 mph,2,yes,40.7141896,-73.9954623
residential,25 mph,1,yes,40.7477282,-73.9868419
motorway,35 mph,2,yes,40.7254099,-74.0144527
secondary,25 mph,2,yes,40.7702212,-73.9813114
secondary,25 mph,4,yes,40.7600518,-73.9739987
primary,25 mph,2,yes,40.7106448,-73.9547728
primary,25 mph,2,yes,40.7217965,-73.9851252
primary,25 mph,3,yes,40.7209822,-73.981995
primary,25 mph,3,yes,40.7215008,-73.984145
primary,25 mph,2,yes,40.7218639,-73.9849055
primary,25 mph,2,yes,40.7216291,-73.9845631
primary,25 mph,3,yes,40.7217316,-73.9844701
primary,25 mph,2,yes,40.7208548,-73.9815715
primary,25 mph,4,yes,40.7229447,-73.9889064
primary,25 mph,3,yes,40.7229078,-73.9883678
primary,25 mph,4,yes,40.7250909,-73.995594
primary,25 mph,4,yes,40.7254287,-73.9964144
primary,25 mph,3,yes,40.7240745,-73.9926356
primary,25 mph,3,yes,40.7252733,-73.996347
primary,25 mph,4,yes,40.7268982,-73.9996578
primary,25 mph,4,yes,40.7257904,-73.9974097
primary,25 mph,3,yes,40.7255431,-73.9968537
primary,25 mph,2,yes,40.7260524,-73.9979413
primary,25 mph,2,yes,40.728304,-74.0026045
primary,25 mph,4,yes,40.7199376,-73.9924904
primary,25 mph,4,yes,40.720186,-73.9934354
primary,25 mph,4,yes,40.718511,-73.987773
primary,25 mph,3,yes,40.7179706,-73.9861246
secondary,25 mph,1,no,40.7165638,-73.9887089
primary,25 mph,3,yes,40.7245022,-73.9925482
primary,25 mph,3,yes,40.7200822,-73.9941794
primary,25 mph,3,yes,40.7205749,-73.9940227
primary,25 mph,2,yes,40.7241262,-73.9925524
primary,25 mph,5,no,40.7169492,-73.9956441
primary,20 mph,2,yes,40.7142486,-73.9974557
primary,20 mph,2,yes,40.7158172,-73.996308
primary,25 mph,5,no,40.7511062,-73.9752644
primary,25 mph,5,no,40.7505955,-73.9740381
secondary,25 mph,4,yes,40.7562952,-73.9767381
secondary,25 mph,5,yes,40.7546035,-73.9779618
primary,25 mph,4,yes,40.7245213,-73.9906521
secondary,25 mph,2,yes,40.7598754,-73.9606219
primary,20 mph,3,yes,40.7140653,-73.9927781
trunk,20 mph,3,yes,40.7162587,-73.9963764
trunk,20 mph,5,no,40.7166227,-73.997189
secondary,25 mph,2,yes,40.7242921,-73.9959649
secondary,25 mph,2,yes,40.7229945,-73.9967909
secondary,25 mph,2,yes,40.7245841,-73.9957299
primary,25 mph,3,yes,40.7271557,-73.9937297
secondary,25 mph,3,yes,40.7249008,-73.9954759
secondary,25 mph,2,yes,40.7239364,-73.9962577
primary,25 mph,2,yes,40.7284734,-73.9926198
primary,25 mph,3,yes,40.7297569,-73.9915055
primary,25 mph,2,yes,40.7258971,-73.9946967
primary,25 mph,3,no,40.7411694,-73.9536667
primary,25 mph,3,yes,40.7343359,-73.9524267
primary,25 mph,3,yes,40.7316618,-73.9517949
primary,25 mph,3,yes,40.7313711,-73.9518876
primary,25 mph,3,yes,40.733058,-73.9520249
primary,25 mph,3,yes,40.7327961,-73.9521268
primary,25 mph,2,yes,40.7323389,-73.9520502
primary,25 mph,2,yes,40.7331485,-73.9521858
primary,25 mph,2,yes,40.7334985,-73.9520972
primary,25 mph,2,yes,40.7310585,-73.9518312
primary,25 mph,2,yes,40.732231,-73.9518896
primary,25 mph,3,yes,40.7308236,-73.9517572
secondary,25 mph,3,yes,40.7639908,-73.9669046
secondary,25 mph,5,yes,40.7500339,-73.9833966
secondary,25 mph,2,yes,40.750003,-73.9823727
secondary,25 mph,4,yes,40.7471265,-73.9834263
primary,25 mph,4,no,40.7528032,-73.9948878
secondary,25 mph,4,yes,40.7469272,-73.9935876
unclassified,25 mph,1,yes,40.7466508,-73.9938894
residential,25 mph,1,yes,40.7442806,-73.9844051
primary,25 mph,3,yes,40.7445433,-73.9831203
secondary,25 mph,4,no,40.7392043,-73.9840181
primary,25 mph,3,yes,40.7404974,-73.986065
residential,25 mph,1,yes,40.7381047,-73.9890359
primary,25 mph,2,yes,40.7370132,-73.9886355
trunk,30 mph,4,yes,40.7370415,-74.0098937
trunk,30 mph,3,yes,40.7399091,-74.0097203
secondary,25 mph,2,no,40.7353105,-74.0003478
residential,25 mph,1,yes,40.7347183,-73.9966687
residential,25 mph,2,no,40.7346079,-73.9903153
residential,25 mph,2,no,40.7299682,-73.9921178
secondary,25 mph,3,yes,40.73052,-74.004574
residential,25 mph,1,yes,40.729716,-74.0038785
secondary,25 mph,2,no,40.7244461,-73.9576641
secondary,25 mph,1,yes,40.7226698,-73.9591687
secondary,25 mph,2,yes,40.722394,-73.959462
secondary,25 mph,2,yes,40.7229465,-73.9588752
secondary,25 mph,1,yes,40.7234983,-73.958286
primary,25 mph,1,yes,40.728505,-73.9502925
primary,25 mph,3,yes,40.7293002,-73.9509096
primary,25 mph,3,yes,40.7299251,-73.9511123
primary,25 mph,2,yes,40.7298593,-73.9512294
primary,25 mph,1,yes,40.7274534,-73.9498533
primary,25 mph,2,yes,40.731385,-73.9517482
primary,25 mph,5,yes,40.7311792,-73.9826874
primary,25 mph,4,yes,40.7337898,-73.9838919
primary,25 mph,4,yes,40.7335186,-73.984089
