highway,maxspeed,lanes,oneway,latitude,longitude
residential,25 mph,1,yes,40.7915519,-73.9762279
residential,25 mph,1,yes,40.71857,-73.983375
residential,20 mph,1,yes,40.7140442,-73.9975365
residential,25 mph,1,yes,40.7365906,-73.9872453
residential,20 mph,1,yes,40.7211755,-73.9794178
residential,25 mph,1,yes,40.7761367,-73.9778825
residential,25 mph,1,yes,40.7646431,-73.9583856
secondary,25 mph,3,no,40.7150102,-73.9843848
service,20 mph,1,yes,40.7176243,-74.0095733
residential,25 mph,1,yes,40.7114822,-73.987229
residential,25 mph,1,yes,40.7123761,-73.9784744
residential,25 mph,1,yes,40.7376281,-73.9851743
residential,15 mph,1,yes,40.704568,-74.0107123
primary,25 mph,2,yes,40.7261714,-73.9919104
primary,25 mph,4,no,40.74921,-73.9863468
residential,20 mph,2,yes,40.7073416,-74.0168151
residential,25 mph,1,yes,40.7307925,-73.9755069
residential,25 mph,1,yes,40.7780206,-73.9881678
residential,25 mph,1,yes,40.7189288,-73.9832129
residential,25 mph,1,yes,40.7991716,-73.9647938
service,20 mph,1,no,40.7168079,-74.0030575
secondary,25 mph,1,yes,40.7329622,-73.9979459
primary,20 mph,1,yes,40.7144979,-73.9925771
residential,20 mph,1,yes,40.7075161,-74.0149743
residential,20 mph,1,yes,40.7160663,-73.9997282
residential,20 mph,1,yes,40.7100978,-74.0106125
residential,25 mph,1,yes,40.7382347,-73.9856861
residential,25 mph,2,no,40.7762048,-73.9896502
residential,25 mph,1,no,40.7330381,-73.9754084
secondary,20 mph,1,yes,40.7085825,-74.0006651
residential,25 mph,1,yes,40.7748752,-73.9565791
secondary,25 mph,2,no,40.7135918,-73.9850808
residential,25 mph,1,yes,40.7141295,-73.9852759
residential,25 mph,1,yes,40.7513886,-74.0031845
residential,20 mph,1,yes,40.7210508,-74.0058527
pedestrian,25 mph,1,yes,40.7368196,-73.9905562
tertiary,25 mph,1,yes,40.7666387,-73.9512091
residential,25 mph,1,yes,40.7778492,-73.9877501
residential,25 mph,1,yes,40.7375477,-73.9859026
residential,25 mph,2,no,40.7800792,-73.9750186
residential,25 mph,1,yes,40.7303236,-73.9790436
residential,25 mph,1,yes,40.7370586,-73.9847355
residential,25 mph,1,yes,40.7394226,-73.990356
residential,25 mph,1,yes,40.7201511,-73.997719
residential,25 mph,1,yes,40.7382437,-73.9866308
residential,25 mph,2,yes,40.729615,-73.9899992
residential,25 mph,1,yes,40.7385981,-73.9938469
residential,25 mph,1,yes,40.7329729,-73.9805054
residential,25 mph,1,yes,40.7269142,-74.0032758
secondary,25 mph,5,yes,40.7506757,-73.9908553
residential,25 mph,1,yes,40.7273553,-74.0015974
residential,25 mph,1,yes,40.7709734,-73.9594307
residential,25 mph,1,yes,40.7195752,-74.0006429
service,20 mph,1,yes,40.7993643,-73.9556696
residential,20 mph,1,yes,40.7122163,-73.998808
secondary,25 mph,3,yes,40.7438706,-73.9958108
